Year,Country,"Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Life expectancy at birth, total (years)",Prevalence of overweight (% of adults),Prevalence of current tobacco use (% of adults),Current health expenditure per capita (current US$),Individuals using the Internet (% of population),GDP per capita (current US$),Access to electricity (% of population),ICT goods exports (% of total goods exports),Urban population (% of total population),"School enrollment, tertiary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, secondary (% net)","Primary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Labor force, female (% of total labor force)",Proportion of seats held by women in national parliaments (%),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Mortality rate, infant (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (% of GDP),Births attended by skilled health staff (% of total),People using safely managed drinking water services (% of population)
2020,Australia,5.37828016281128,,,,9.63794140630465,17.0711261935604,13.5756598529628,,,,83.2,,13.6,5958.765625,94.7,51791.540179984,100.0,1.04,86.241,110.139221191406,,,,,46.9709934784906,30.4635761589404,,,3.2,95.0,10.6837368,96.0,
2019,Australia,5.50858879089355,,,,9.90055970474023,16.9225980147395,13.6275433099882,4.94105432186094,5.94459221316378,89.1143536670652,82.9,,14.0,5545.91064453,93.6,54972.7017885437,100.0,1.1,86.124,109.759559631348,,,,,46.8990769548796,30.4635761589404,,,3.2,95.0,10.21965981,98.8,
2018,Australia,5.40967607498169,,,,9.71112937491486,17.2869000989682,13.7441525938357,,,,82.7487804878049,,14.0,5857.28808594,90.0,57196.4220783778,100.0,1.0,86.012,103.322090148926,,,,,46.7744849814682,28.6666666666667,,,3.2,95.0,10.05971909,98.7,
2017,Australia,5.32125568389893,,,,10.2623937996225,17.4765324029051,14.116746422319,,,,82.5,,,5813.61376953,86.5,53901.7145392154,100.0,1.1,85.904,109.993309020996,,92.28431,,,46.6097831437911,28.6666666666667,,,3.2,95.0,10.12281322,99.4,
2016,Australia,5.43038558959961,19.30184,14.98139,17.82954,10.3366057379963,17.536914658498,14.1969793601081,,,,82.4487804878049,64.5,,5453.92480469,86.5,49888.0410842736,100.0,1.31,85.8,119.682777404785,,92.76952,,,46.4203066906294,28.6666666666667,,,3.2,94.0,10.09288597,98.8,
2015,Australia,5.46285820007324,18.78482,17.13625,21.46599,9.63192976918063,17.4462987952146,13.843511680872,4.56955742794355,5.85702495846548,89.5734193050277,82.4,64.0,15.7,5322.97119141,84.6,56739.0265346593,100.0,1.4,85.701,119.679389953613,,93.23812,,,46.1133826979131,26.6666666666667,,,3.3,93.0,10.18225861,98.8,
2014,Australia,5.4375524520874,18.24146,16.54706,21.85707,9.62992715765032,17.3910131805691,13.8308572070594,,,,82.3,63.6,,6130.99853516,84.0,62544.0873773726,100.0,1.08,85.602,,,,,,45.919060822246,26.0,,,3.4,92.0,9.83354282,99.8,
2013,Australia,5.5196270942688,18.65626,16.77557,22.28509,9.91756622730735,17.5630934946359,14.0646344854396,,,,82.1487804878049,63.1,,5843.17382813,83.5,68190.7010035651,100.0,0.92,85.502,,,,,,45.7333917448342,26.0,,,3.5,91.0,8.75058746,99.0,
2012,Australia,5.55924797058105,18.14095,16.08962,19.06647,10.207021133128,16.9985175674117,13.9032224183997,,,,82.0463414634146,62.7,,6071.65087891,79.0,68072.8732340801,100.0,0.88,85.402,,,,,,45.6261911162689,24.6666666666667,,,3.6,92.0,8.67456913,99.2,
2011,Australia,6.00601577758789,19.96941,,,11.1120274726931,17.8867874126164,14.8114019469103,,,,81.8951219512195,62.2,,5909.14990234,79.5,62605.600458306,100.0,0.85,85.3,,,,,,45.5026695981224,24.6666666666667,,,3.8,92.0,8.53744984,99.1,
2010,Australia,6.15043640136719,22.33566,,,9.67995627546457,18.3095737795145,14.4055456386144,3.95449604319344,5.58861532137959,90.4568900838594,81.6951219512195,61.7,18.2,4975.47070313,76.0,52144.6654705468,100.0,0.96,85.182,,,,,,45.3195651762421,24.6666666666667,,,4.0,92.0,8.42025661,99.1,
2009,Australia,5.39640665054321,19.91991,,,10.3501666883425,18.2353219571768,14.6495969472721,,,,81.5439024390244,61.2,,4011.93261719,74.3,42816.5674002829,100.0,1.07,85.063,,,,,,45.3993241223728,27.3333333333333,,,4.2,92.0,8.54473877,99.1,
2008,Australia,4.9018235206604,17.65014,,,9.50001137124746,17.211927807166,13.7350884880874,,,,81.3951219512195,60.7,,4107.01269531,71.7,49701.2817843335,100.0,1.11,84.943,,,,,,45.2453607748524,26.6666666666667,,,4.4,92.0,8.24855137,99.1,
2007,Australia,4.96966886520386,17.28608,,,9.80856585124345,17.8725439750952,14.2488222739128,,,,81.2926829268293,60.2,,3815.33642578,69.5,41051.6120652288,100.0,1.38,84.822,,,,,,45.1311981251528,26.6666666666667,,,4.5,92.0,8.05496502,99.2,
2006,Australia,5.16309022903442,17.73229,,,11.102448786483,19.9139235133596,15.9516259568552,,,,81.0414634146342,59.7,,3194.03076172,66.0,36595.7071548423,100.0,1.45,84.7,,,,,,45.0346032247332,24.6666666666667,,,4.7,92.0,7.97702456,99.3,
2005,Australia,5.27187633514404,17.92028,,,11.1498816218677,20.0519263480369,16.0647467114279,,,,80.8414634146341,59.2,21.1,3014.10473633,63.0,34479.7679298388,100.0,1.68,84.582,,,,,,44.8785823390265,24.6666666666667,,,4.8,92.0,7.97029352,99.4,
2004,Australia,5.19307231903076,,,,12.897774631484,20.2588131547929,16.98549836214,,,,80.490243902439,58.6,,2760.83081055,,30836.7306824685,100.0,1.98,84.463,,,,,,44.5360637126181,24.6666666666667,,,4.8,92.0,8.08708572,99.3,
2003,Australia,5.24525785446167,,,,12.0662303082781,19.7210073404392,16.3057056879743,,,,80.2390243902439,58.1,,2240.74609375,,23718.1338501868,100.0,2.24,84.343,,,,,,44.641377969827,25.3333333333333,,,4.9,93.0,7.88087225,99.3,
2002,Australia,5.30569648742676,,,,12.0328420181157,19.7131711732167,16.3057072351829,,,,79.9365853658537,57.5,,1763.69567871,,20301.8431713256,100.0,2.24,84.222,,,,,,44.2708013736693,25.3333333333333,,,5.0,92.0,7.87627029,99.3,
