Year,Development_Status,"Government expenditure on education, total (% of GDP)","Government expenditure per student, primary (% of GDP per capita)","Government expenditure per student, secondary (% of GDP per capita)","Government expenditure per student, tertiary (% of GDP per capita)","Self-employed, female (% of female employment) (modeled ILO estimate)","Self-employed, male (% of male employment) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate)","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by injury (% of total)","Cause of death, by non-communicable diseases (% of total)","Life expectancy at birth, total (years)",Prevalence of overweight (% of adults),Prevalence of current tobacco use (% of adults),Current health expenditure per capita (current US$),Individuals using the Internet (% of population),GDP per capita (current US$),Access to electricity (% of population),ICT goods exports (% of total goods exports),Urban population (% of total population),"School enrollment, tertiary (% gross)","Literacy rate, adult total (% of people ages 15 and above)","School enrollment, secondary (% net)","Primary completion rate, total (% of relevant age group)","Lower secondary completion rate, total (% of relevant age group)","Labor force, female (% of total labor force)",Proportion of seats held by women in national parliaments (%),"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Mortality rate, infant (per 1,000 live births)","Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (% of GDP),Births attended by skilled health staff (% of total),People using safely managed drinking water services (% of population)
1980,Developed,5.102859262256853,19.685910666666665,24.739114852941174,34.60711794520548,9.25656078950846,15.308860254648112,12.604856841984168,8.094299426849805,5.051616480651711,86.8540842687654,73.97531402439026,36.7625,22.133928571428573,4384.550740197203,53.45815551020409,10578.210406528679,100.0,10.275178571428572,80.77199999999999,41.6123021963166,93.43750000000001,89.72205587155963,101.70365954418575,97.6422643025716,44.27782707902252,23.14251162093573,90.0,1.0,10.7375,72.671875,9.638259159940477,98.93440860215054,98.57653047162012
1980,Developing,3.581986807482275,15.289916715328468,17.927785263157897,47.72059606666667,52.58202151663232,49.67935446814723,50.57565833576998,20.989254967653004,9.613385970488098,69.39735908195532,59.35428837876614,21.264705882352942,26.76571428571428,258.4213114253468,18.84307100948276,2042.7991578182093,83.25676350636095,9.668233215547705,39.07652941176471,11.551482345686448,80.59886488038754,62.19199956521739,80.19982631995401,62.473509994875485,36.73813150830143,17.63136777349955,76.62998006244277,0.9902950085941055,78.40588235294118,54.768186564566655,5.231654255433527,80.37993127147767,48.67842430799909
1980,Least developed,4.0634609337206244,7.1023564285714285,13.831971666666668,53.0464,78.43839147676168,68.59246947655764,73.40652137720681,41.71799416083952,8.689154992011474,49.592850571466805,53.535333333333334,11.133333333333333,31.804761904761904,53.97240552301887,8.331061175675675,374.3092893955008,42.68720599814637,0.35792452830188665,18.747333333333334,2.5028574118331135,80.93699188232422,37.935015151515145,84.98215667568907,47.490144107652746,47.17634413718874,15.728864365740511,75.70364023844401,0.9852235422414886,94.7,48.005649717514125,5.269052187358491,61.15769230769231,30.970528480298157
1981,Developed,4.957726038752063,19.685910666666665,24.739114852941174,34.60711794520548,9.25656078950846,15.308860254648112,12.604856841984168,8.094299426849805,5.051616480651711,86.8540842687654,74.30639939024391,37.2625,22.133928571428573,4384.550740197203,53.45815551020409,10779.314863134641,100.0,10.275178571428572,80.883375,41.897687089733964,94.92857142857144,87.88973190366973,100.66040469189088,100.63946145375573,44.27782707902252,23.14251162093573,92.28571428571428,1.0,10.225,77.0859375,9.638259159940477,98.93440860215054,98.57653047162012
1981,Developing,3.512021232730124,15.289916715328468,17.927785263157897,47.72059606666667,52.58202151663232,49.67935446814723,50.57565833576998,20.989254967653004,9.613385970488098,69.39735908195532,59.84222955523673,21.71764705882353,26.76571428571428,258.4213114253468,18.84307100948276,2021.5858610663888,83.25676350636095,9.668233215547705,39.65352941176471,13.934704092047422,76.73789138005998,59.31894249680307,76.02847585274894,64.02438826570992,36.73813150830143,17.63136777349955,70.58159272511229,0.9878687607426317,75.98823529411764,43.79585798816568,5.231654255433527,80.37993127147767,48.67842430799909
1981,Least developed,4.332580991144531,7.1023564285714285,13.831971666666668,53.0464,78.43839147676168,68.59246947655764,73.40652137720681,41.71799416083952,8.689154992011474,49.592850571466805,54.050999999999995,11.466666666666667,31.804761904761904,53.97240552301887,8.331061175675675,418.481412759443,42.68720599814637,0.35792452830188665,19.873,2.2219433858990665,80.93699188232422,37.935015151515145,84.98215667568907,47.490144107652746,47.17634413718874,15.728864365740511,75.70364023844401,0.9852235422414886,89.5,38.00282485875706,5.269052187358491,61.15769230769231,30.970528480298157
1982,Developed,5.085420852346766,19.685910666666665,24.739114852941174,34.60711794520548,9.25656078950846,15.308860254648112,12.604856841984168,8.094299426849805,5.051616480651711,86.8540842687654,74.57685670731708,37.7375,22.133928571428573,4384.550740197203,53.45815551020409,10804.276606625845,100.0,10.275178571428572,80.955,42.04432595997321,94.92857142857144,87.96318315366972,100.42743063946163,95.91783326466876,44.27782707902252,23.14251162093573,92.28571428571428,1.0,9.75,79.3359375,9.638259159940477,98.93440860215054,98.57653047162012
1982,Developing,3.4661533064072674,15.289916715328468,17.927785263157897,47.72059606666667,52.58202151663232,49.67935446814723,50.57565833576998,20.989254967653004,9.613385970488098,69.39735908195532,60.16188809182209,22.176470588235293,26.76571428571428,258.4213114253468,18.84307100948276,1831.5493849576942,83.25676350636095,9.668233215547705,40.183882352941175,15.537178297681608,80.86622815930797,62.471490163043484,80.41844106351628,64.3778816196097,36.73813150830143,17.63136777349955,76.34629860746523,0.9878687607426317,73.60588235294118,46.67821092934215,5.231654255433527,80.37993127147767,48.67842430799909
1982,Least developed,4.8231014423900165,7.1023564285714285,13.831971666666668,53.0464,78.43839147676168,68.59246947655764,73.40652137720681,41.71799416083952,8.689154992011474,49.592850571466805,54.522,11.799999999999999,31.804761904761904,53.97240552301887,8.331061175675675,432.4952174980178,42.68720599814637,0.35792452830188665,20.151,2.312683338920277,79.95799458821615,37.935015151515145,84.98215667568907,47.490144107652746,47.17634413718874,15.728864365740511,74.46909349229601,0.9901490281609924,85.23333333333333,41.66949152542373,5.269052187358491,61.15769230769231,30.970528480298157
1983,Developed,5.158832108421672,19.685910666666665,24.739114852941174,34.60711794520548,9.25656078950846,15.308860254648112,12.604856841984168,8.094299426849805,5.051616480651711,86.8540842687654,74.75618292682927,38.2375,22.133928571428573,4384.550740197203,53.45815551020409,11026.320798797125,100.0,10.275178571428572,81.01112499999999,42.44770230083931,94.92857142857144,88.02748190366972,100.40031195660029,98.19386952718098,44.27782707902252,23.14251162093573,92.28571428571428,1.0,9.325,80.4609375,9.638259159940477,98.93440860215054,98.57653047162012
1983,Developing,3.44902976148988,15.289916715328468,17.927785263157897,47.72059606666667,52.58202151663232,49.67935446814723,50.57565833576998,20.989254967653004,9.613385970488098,69.39735908195532,60.08845193687231,22.63529411764706,26.76571428571428,258.4213114253468,18.84307100948276,1765.8926419618037,83.25676350636095,9.668233215547705,40.685764705882356,16.047023728041726,81.18172524721568,59.700646026214834,88.01280225953637,68.6901977848606,36.73813150830143,17.63136777349955,77.05913842179393,0.9862512621749825,71.25294117647059,41.99077619213366,5.231654255433527,80.37993127147767,48.67842430799909
1983,Least developed,4.597227680241617,7.1023564285714285,13.831971666666668,53.0464,78.43839147676168,68.59246947655764,73.40652137720681,41.71799416083952,8.689154992011474,49.592850571466805,54.97833333333333,12.166666666666666,31.804761904761904,53.97240552301887,8.331061175675675,388.21992019420946,42.68720599814637,0.35792452830188665,20.478666666666665,2.465824094843375,80.29132792154948,37.935015151515145,84.98215667568907,47.490144107652746,47.17634413718874,15.728864365740511,74.46909349229601,0.9901490281609924,81.76666666666667,44.66949152542372,5.269052187358491,61.15769230769231,30.970528480298157
1984,Developed,5.269162784901358,19.685910666666665,24.739114852941174,34.60711794520548,9.25656078950846,15.308860254648112,12.604856841984168,8.094299426849805,5.051616480651711,86.8540842687654,75.03464634146341,38.725,22.133928571428573,4384.550740197203,53.45815551020409,11369.064753488718,100.0,10.275178571428572,81.047375,42.639901054196244,94.92857142857144,87.79004565366972,100.42998076458373,98.34588330586747,44.27782707902252,23.14251162093573,92.28571428571428,1.0,8.9625,81.5859375,9.638259159940477,98.93440860215054,98.57653047162012
1984,Developing,3.509828601631463,15.289916715328468,17.927785263157897,47.72059606666667,52.58202151663232,49.67935446814723,50.57565833576998,20.989254967653004,9.613385970488098,69.39735908195532,60.20515781922525,23.099999999999998,26.76571428571428,258.4213114253468,18.84307100948276,1723.2050185254022,83.25676350636095,9.668233215547705,41.19035294117647,18.61869302872455,79.93574140914417,62.471490163043484,83.16278314117125,63.324448481828234,36.73813150830143,17.63136777349955,74.9968361616884,0.9870600114588072,68.96470588235294,46.9319526627219,5.231654255433527,80.37993127147767,48.67842430799909
1984,Least developed,5.145900992110921,7.1023564285714285,13.831971666666668,53.0464,78.43839147676168,68.59246947655764,73.40652137720681,41.71799416083952,8.689154992011474,49.592850571466805,55.586000000000006,12.533333333333333,31.804761904761904,53.97240552301887,8.331061175675675,322.66798125376084,42.68720599814637,0.35792452830188665,20.858,2.213206703464191,80.93699188232422,37.935015151515145,83.68211995338908,48.831242464590765,47.17634413718874,15.728864365740511,75.70364023844401,0.9852235422414886,79.06666666666666,29.666666666666668,5.269052187358491,61.15769230769231,30.970528480298157
